product_id,product_name,category,unit_cost,unit_price,supplier,active
P0048,Darkviolet Running Socks,Apparel,150.66,316.06,Garza-Howard,True
P0049,Darkviolet Graphic Tee,Apparel,43.15,59.24,Guerrero-Davis,True
P0050,Olive Graphic Tee,Apparel,76.47,171.47,"Gray, Russell and Jones",True
P0051,Indianred Performance Hoodie,Apparel,60.39,104.92,Hoffman Group,True
P0052,Darkgreen Trail Jacket,Apparel,68.52,142.04,"Rivas, Khan and Miranda",True
P0053,Wheat Denim Shirt,Apparel,11.09,23.29,Duncan-Hooper,True
P0054,Darkorchid Trail Jacket,Apparel,49.27,83.38,Bridges-Waters,True
P0055,Palegoldenrod Performance Hoodie,Apparel,98.61,150.07,"Hernandez, Matthews and Mejia",True
P0056,Teal Graphic Tee,Apparel,167.31,385.75,Garrett-Williams,True
P0057,Black Running Socks,Apparel,41.82,95.09,Mendoza and Sons,True
P0058,Aliceblue Graphic Tee,Apparel,143.13,224.02,Contreras PLC,False
P0059,Powderblue Graphic Tee,Apparel,133.96,310.18,"Myers, Mcclure and Brown",False
P0060,Chartreuse Performance Hoodie,Apparel,149.27,306.49,Bass Group,True
P0061,Steelblue Makeup Brush Set,Beauty,110.37,241.21,Jones Ltd,False
P0062,Goldenrod Face Serum,Beauty,138.35,274.98,"Rogers, Montes and Dickerson",False
P0063,Burlywood Body Lotion,Beauty,5.54,8.2,Brooks Inc,True
P0064,Lightseagreen Face Serum,Beauty,32.62,60.15,Carter PLC,True
P0065,Cornsilk Sunscreen,Beauty,125.01,270.21,"Morris, Chavez and Ayala",False
P0066,Turquoise Body Lotion,Beauty,50.62,103.29,Wiggins Group,True
P0067,Palevioletred Body Lotion,Beauty,19.77,33.07,"Thomas, Blair and Walker",False
P0068,Lightseagreen Sunscreen,Beauty,44.29,103.65,Smith-Simpson,True
P0069,Red Face Serum,Beauty,175.47,259.35,"Campbell, Martin and Klein",True
P0070,Rosybrown Face Serum,Beauty,75.18,131.06,Barber Group,True
P0071,Darkseagreen Hair Dryer,Beauty,34.77,66.14,"Taylor, Smith and Lindsey",False
P0072,Slategray Makeup Brush Set,Beauty,149.77,272.32,"Garrett, Wells and Cruz",True
P0073,Burlywood Body Lotion,Beauty,170.56,372.75,Cunningham PLC,False
P0074,Cornflowerblue Makeup Brush Set,Beauty,27.78,62.08,Johnson-Zuniga,True
P0075,White Body Lotion,Beauty,78.21,134.51,Jones-Lee,True
P0076,Green Hair Dryer,Beauty,46.21,81.73,Hall-Pineda,False
P0077,Maroon Face Serum,Beauty,6.81,9.56,Espinoza-Jackson,False
P0078,Mediumturquoise Body Lotion,Beauty,129.83,268.06,Rodriguez-Stephens,True
P0079,Cyan Face Serum,Beauty,21.67,28.55,Smith-Atkinson,True
P0080,Firebrick Makeup Brush Set,Beauty,163.94,392.84,"Garcia, Morrison and Smith",True
P0081,Darkolivegreen Yoga Mat,Sports,49.39,96.93,Christensen and Sons,False
P0082,Thistle Resistance Bands,Sports,28.14,64.05,"Stewart, Mcdonald and Payne",True
P0083,Mediumturquoise Resistance Bands,Sports,34.73,63.1,Martinez-Robinson,False
P0084,Crimson Water Bottle,Sports,20.69,42.76,"Gardner, Parker and Watkins",True
P0085,Floralwhite Yoga Mat,Sports,59.82,142.09,"Morris, Thomas and Foster",True
P0086,Teal Resistance Bands,Sports,167.09,263.23,Dudley Inc,True
P0087,Plum Foam Roller,Sports,59.78,136.09,Mitchell-Brown,False
P0088,Royalblue Water Bottle,Sports,102.24,236.31,Fleming Inc,False
P0089,Orchid Yoga Mat,Sports,38.06,49.96,Ferguson-Pennington,False
P0090,Sandybrown Resistance Bands,Sports,33.62,60.09,"Gibbs, Contreras and Jackson",False
P0091,Ghostwhite Yoga Mat,Sports,82.27,196.39,Smith and Sons,False
P0092,Darkgoldenrod Gym Bag,Sports,24.69,51.3,Shannon-Chapman,True
P0093,Gainsboro Yoga Mat,Sports,40.65,64.09,Fuller LLC,True
P0094,Tomato Foam Roller,Sports,160.91,309.52,Jackson-Payne,True
P0095,Slategray Foam Roller,Sports,139.2,202.91,"Mcdaniel, Kim and Chang",True
P0096,Lavender Gym Bag,Sports,123.46,280.31,"Sanchez, Wilson and Robertson",True
P0097,Yellowgreen Gym Bag,Sports,70.37,163.15,"Ferrell, Ortiz and Morgan",True
P0098,Royalblue Water Bottle,Sports,10.05,17.88,"Johnson, Floyd and Chapman",False
P0099,Pink Gym Bag,Sports,114.96,179.3,Becker-Vang,True
P0100,Saddlebrown Yoga Mat,Sports,119.83,280.83,Graves-Powell,True
P0101,Springgreen Standing Desk Mat,Office,156.07,338.95,Mccullough PLC,True
P0102,Darkviolet Notebook Pack,Office,100.75,195.72,Diaz Inc,True
P0103,Oldlace Standing Desk Mat,Office,47.01,100.44,"Thomas, Hopkins and Jackson",True
P0104,Ivory Standing Desk Mat,Office,33.51,71.93,"Bailey, Craig and Miller",True
P0105,Orangered Notebook Pack,Office,57.25,124.3,"Marks, Diaz and Waters",True
P0106,Yellow Planner,Office,27.98,56.39,Giles-Mcdaniel,True
P0107,Palegreen Desk Organizer,Office,82.95,140.71,"Hernandez, Jones and Curtis",False
P0108,Forestgreen Notebook Pack,Office,137.39,299.87,Holden and Sons,False
P0109,Mediumorchid Desk Organizer,Office,21.27,39.14,"Sanders, Bryant and Wheeler",True
P0110,Blueviolet Standing Desk Mat,Office,167.87,311.63,"Garza, Barton and Adams",True
P0111,Plum Monitor Stand,Office,86.94,116.59,"Lynch, Roberts and Payne",True
P0112,Azure Standing Desk Mat,Office,177.23,361.01,Martinez Inc,True
P0113,Mediumpurple Planner,Office,79.85,152.02,Bean Ltd,True
P0114,Khaki Planner,Office,23.84,41.45,"Wilkinson, Hamilton and Ball",True
P0115,Lightcoral Monitor Stand,Office,49.6,66.66,"Costa, Wong and Evans",True
P0116,Mediumslateblue Desk Organizer,Office,36.42,53.16,"Lynch, Spencer and Jones",True
P0117,Darkblue Desk Organizer,Office,158.43,252.27,Reed-Garrett,False
P0118,Tan Desk Organizer,Office,114.17,177.52,Rivers-Potter,True
P0119,Blue Standing Desk Mat,Office,37.39,78.86,"Pena, Davis and Mclean",True
P0120,Lavenderblush Desk Organizer,Office,98.52,123.81,"Morales, Myers and Gonzalez",True
