return_id,order_id,return_date,return_reason
R000367,O005160,2023-03-22,Late Delivery
R000368,O005165,2025-09-09,Wrong Size
R000369,O005230,2025-06-09,Not As Described
R000370,O005240,2025-09-29,Late Delivery
R000371,O005252,2025-06-13,Late Delivery
R000372,O005270,2024-03-14,Changed Mind
R000373,O005286,2025-09-26,Not As Described
R000374,O005299,2023-05-01,Wrong Size
R000375,O005319,2023-02-19,Wrong Size
R000376,O005325,2025-08-01,Changed Mind
R000377,O005329,2024-08-14,Not As Described
R000378,O005333,2025-03-10,Wrong Size
R000379,O005335,2024-01-31,Changed Mind
R000380,O005405,2025-05-24,Wrong Size
R000381,O005413,2025-06-14,Not As Described
R000382,O005473,2025-07-17,Wrong Size
R000383,O005488,2025-06-09,Damaged
R000384,O005496,2024-09-29,Late Delivery
R000385,O005497,2024-05-20,Not As Described
R000386,O005498,2023-10-09,Wrong Size
R000387,O005502,2025-06-03,Not As Described
R000388,O005518,2024-12-09,Wrong Size
R000389,O005559,2024-08-27,Damaged
R000390,O005579,2024-10-25,Late Delivery
R000391,O005597,2023-04-03,Damaged
R000392,O005605,2023-06-29,Not As Described
R000393,O005616,2023-04-13,Not As Described
R000394,O005620,2025-06-11,Wrong Size
R000395,O005622,2025-12-11,Late Delivery
R000396,O005628,2025-08-15,Damaged
R000397,O005666,2024-08-24,Damaged
R000398,O005668,2025-02-22,Damaged
R000399,O005677,2024-04-11,Wrong Size
R000400,O005800,2023-11-20,Wrong Size
R000401,O005802,2023-08-09,Late Delivery
R000402,O005838,2023-05-15,Late Delivery
R000403,O005850,2023-08-21,Damaged
R000404,O005900,2024-01-14,Wrong Size
R000405,O005920,2024-06-26,Late Delivery
R000406,O005929,2023-03-11,Not As Described
R000407,O005931,2023-11-29,Changed Mind
R000408,O005941,2024-09-24,Not As Described
R000409,O005964,2024-12-02,Not As Described
R000410,O005965,2025-05-28,Changed Mind
R000411,O005990,2024-11-02,Wrong Size
R000412,O005995,2023-08-05,Wrong Size
R000413,O006016,2024-11-11,Late Delivery
R000414,O006029,2024-06-21,Late Delivery
R000415,O006037,2024-12-12,Not As Described
R000416,O006084,2023-12-23,Damaged
R000417,O006091,2025-03-22,Late Delivery
R000418,O006109,2023-02-21,Damaged
R000419,O006132,2024-11-23,Not As Described
R000420,O006141,2024-11-09,Wrong Size
R000421,O006185,2023-09-29,Not As Described
R000422,O006189,2024-02-02,Damaged
R000423,O006190,2025-11-17,Late Delivery
R000424,O006197,2024-12-31,Damaged
R000425,O006208,2026-01-11,Changed Mind
R000426,O006221,2023-10-04,Late Delivery
R000427,O006231,2025-08-05,Not As Described
R000428,O006239,2026-01-12,Damaged
R000429,O006255,2023-12-23,Changed Mind
R000430,O006277,2025-06-27,Damaged
R000431,O006289,2024-02-10,Late Delivery
R000432,O006329,2023-04-04,Wrong Size
R000433,O006331,2024-08-20,Wrong Size
R000434,O006352,2024-01-02,Wrong Size
R000435,O006362,2024-04-20,Not As Described
R000436,O006373,2025-02-23,Wrong Size
R000437,O006377,2025-05-11,Changed Mind
R000438,O006436,2025-11-14,Changed Mind
R000439,O006460,2024-10-17,Not As Described
R000440,O006468,2024-06-12,Not As Described
R000441,O006500,2025-06-16,Late Delivery
R000442,O006541,2024-01-01,Damaged
R000443,O006546,2024-04-18,Not As Described
R000444,O006563,2023-11-02,Changed Mind
R000445,O006581,2023-02-14,Damaged
R000446,O006608,2025-11-30,Changed Mind
R000447,O006609,2023-05-09,Not As Described
R000448,O006617,2025-11-04,Changed Mind
R000449,O006628,2025-05-09,Wrong Size
R000450,O006631,2025-10-28,Changed Mind
R000451,O006655,2023-03-11,Wrong Size
R000452,O006681,2024-03-30,Changed Mind
R000453,O006682,2023-12-19,Changed Mind
R000454,O006699,2025-01-23,Not As Described
R000455,O006703,2025-10-11,Changed Mind
R000456,O006726,2023-06-22,Changed Mind
R000457,O006771,2023-06-10,Damaged
R000458,O006788,2023-04-09,Changed Mind
R000459,O006789,2025-02-22,Late Delivery
R000460,O006824,2025-02-27,Damaged
R000461,O006829,2024-12-31,Not As Described
R000462,O006839,2023-04-30,Not As Described
R000463,O006846,2024-09-20,Damaged
R000464,O006847,2025-07-28,Not As Described
R000465,O006875,2024-10-05,Wrong Size
R000466,O006898,2024-02-04,Late Delivery
R000467,O006934,2025-06-11,Not As Described
R000468,O006945,2023-04-13,Damaged
R000469,O006959,2025-01-12,Damaged
R000470,O006970,2023-07-27,Not As Described
R000471,O006978,2025-03-19,Not As Described
R000472,O006987,2025-10-31,Damaged
R000473,O006993,2025-06-25,Wrong Size
R000474,O007025,2025-01-12,Changed Mind
R000475,O007037,2024-11-16,Damaged
R000476,O007055,2023-06-15,Changed Mind
R000477,O007077,2024-04-27,Damaged
R000478,O007087,2024-04-16,Wrong Size
R000479,O007088,2024-08-24,Damaged
R000480,O007121,2025-06-04,Damaged
R000481,O007142,2025-05-13,Wrong Size
R000482,O007155,2025-04-15,Wrong Size
R000483,O007162,2026-01-05,Not As Described
R000484,O007173,2024-08-14,Late Delivery
R000485,O007175,2025-02-23,Wrong Size
R000486,O007184,2024-07-22,Changed Mind
R000487,O007197,2025-12-03,Changed Mind
R000488,O007220,2025-03-08,Changed Mind
R000489,O007237,2023-12-22,Late Delivery
R000490,O007248,2023-03-06,Late Delivery
R000491,O007251,2023-12-31,Changed Mind
R000492,O007266,2024-08-19,Wrong Size
R000493,O007267,2025-06-08,Wrong Size
R000494,O007275,2025-09-27,Wrong Size
R000495,O007282,2025-10-31,Damaged
R000496,O007286,2025-02-09,Damaged
R000497,O007287,2025-03-18,Wrong Size
R000498,O007299,2025-01-23,Not As Described
R000499,O007322,2023-07-30,Not As Described
R000500,O007370,2025-02-08,Changed Mind
R000501,O007372,2023-10-28,Wrong Size
R000502,O007395,2024-12-06,Wrong Size
R000503,O007407,2024-04-24,Wrong Size
R000504,O007412,2023-12-22,Wrong Size
R000505,O007434,2025-11-18,Wrong Size
R000506,O007435,2024-08-20,Late Delivery
R000507,O007438,2025-05-03,Changed Mind
R000508,O007440,2023-10-13,Not As Described
R000509,O007446,2023-11-13,Not As Described
R000510,O007448,2025-01-29,Wrong Size
R000511,O007490,2025-05-07,Changed Mind
R000512,O007508,2026-01-10,Late Delivery
R000513,O007513,2023-06-07,Damaged
R000514,O007517,2025-02-06,Changed Mind
R000515,O007518,2023-05-10,Not As Described
R000516,O007519,2025-08-12,Damaged
R000517,O007521,2025-08-05,Late Delivery
R000518,O007529,2025-12-10,Late Delivery
R000519,O007533,2025-10-23,Changed Mind
R000520,O007536,2023-05-18,Late Delivery
R000521,O007539,2024-02-09,Not As Described
R000522,O007547,2024-10-10,Late Delivery
R000523,O007566,2025-11-06,Late Delivery
R000524,O007572,2025-10-20,Damaged
R000525,O007597,2025-03-27,Not As Described
R000526,O007598,2025-01-21,Damaged
R000527,O007624,2025-09-21,Changed Mind
R000528,O007627,2025-01-13,Wrong Size
R000529,O007655,2024-07-22,Wrong Size
R000530,O007660,2025-03-19,Changed Mind
R000531,O007661,2025-01-20,Not As Described
R000532,O007664,2023-10-15,Damaged
R000533,O007668,2024-04-09,Not As Described
R000534,O007687,2025-09-13,Damaged
R000535,O007701,2025-12-17,Wrong Size
R000536,O007730,2025-02-10,Late Delivery
R000537,O007749,2023-08-28,Damaged
R000538,O007750,2025-09-17,Late Delivery
R000539,O007762,2025-01-11,Damaged
R000540,O007807,2023-02-13,Changed Mind
R000541,O007825,2024-05-04,Not As Described
R000542,O007829,2023-09-07,Wrong Size
R000543,O007833,2024-10-31,Late Delivery
R000544,O007899,2025-07-25,Changed Mind
R000545,O007910,2025-05-05,Wrong Size
R000546,O007924,2025-05-31,Changed Mind
R000547,O007926,2023-12-02,Damaged
R000548,O007931,2023-07-20,Late Delivery
R000549,O007938,2023-07-08,Damaged
R000550,O007967,2023-08-02,Not As Described
R000551,O007975,2024-10-04,Wrong Size
