order_id,customer_id,order_date,sales_channel,region,order_status
O000065,C01007,2025-04-02,Online,Northeast,Completed
O000066,C00783,2023-02-19,Retail Store,Midwest,Completed
O000067,C00375,2024-08-07,Retail Store,South,Completed
O000068,C00121,2025-04-14,Retail Store,South,Completed
O000069,C00203,2024-09-02,Retail Store,West,Completed
O000070,C00248,2024-06-12,Online,West,Completed
O000071,C01042,2024-04-29,Marketplace,West,Completed
O000072,C01133,2024-10-13,Marketplace,West,Completed
O000073,C00552,2024-04-23,Online,Northeast,Completed
O000074,C01164,2023-09-15,Marketplace,Midwest,Completed
O000075,C00292,2025-10-21,Retail Store,South,Completed
O000076,C01137,2024-05-17,Marketplace,West,Returned
O000077,C00002,2024-08-15,Online,South,Completed
O000078,C00720,2024-05-28,Mobile App,West,Completed
O000079,C01094,2023-04-04,Online,South,Completed
O000080,C01485,2023-09-09,Retail Store,South,Completed
O000081,C01397,2025-10-30,Retail Store,Midwest,Cancelled
O000082,C00504,2025-07-16,Retail Store,Midwest,Completed
O000083,C01417,2024-11-03,Mobile App,Northeast,Completed
O000084,C00020,2025-09-02,Mobile App,Northeast,Completed
O000085,C01103,2025-09-28,Online,West,Completed
O000086,C01376,2023-06-08,Marketplace,Northeast,Completed
O000087,C00793,2025-02-09,Mobile App,Midwest,Completed
O000088,C00948,2023-01-18,Retail Store,Northeast,Completed
O000089,C00576,2024-03-29,Retail Store,Northeast,Completed
O000090,C00480,2024-09-12,Marketplace,South,Completed
O000091,C00015,2025-10-06,Mobile App,South,Completed
O000092,C01166,2023-08-16,Marketplace,Midwest,Completed
O000093,C01205,2023-12-26,Mobile App,Northeast,Completed
O000094,C00393,2024-04-11,Online,Midwest,Completed
O000095,C01395,2025-12-27,Marketplace,Midwest,Completed
O000096,C00886,2023-04-17,Marketplace,Midwest,Completed
O000097,C00741,2025-08-13,Online,West,Completed
O000098,C01091,2024-07-23,Marketplace,West,Completed
O000099,C01172,2024-11-16,Online,Northeast,Completed
O000100,C00512,2025-05-17,Mobile App,Northeast,Completed
O000101,C00983,2023-07-18,Marketplace,Northeast,Completed
O000102,C00507,2024-11-15,Online,Midwest,Returned
O000103,C01065,2023-04-22,Mobile App,Midwest,Completed
O000104,C01281,2025-06-17,Marketplace,Northeast,Completed
O000105,C00773,2023-05-05,Retail Store,Northeast,Completed
O000106,C00906,2023-09-19,Online,Northeast,Completed
O000107,C01388,2023-05-15,Online,Northeast,Completed
O000108,C00197,2025-02-20,Marketplace,West,Completed
O000109,C00787,2023-01-22,Marketplace,West,Completed
O000110,C01334,2023-07-27,Online,Midwest,Completed
O000111,C00211,2024-01-30,Online,Northeast,Completed
O000112,C01306,2024-02-01,Retail Store,South,Completed
O000113,C00498,2025-06-29,Mobile App,South,Completed
O000114,C01051,2024-09-30,Retail Store,West,Completed
O000115,C00962,2023-10-26,Retail Store,South,Completed
O000116,C00118,2023-01-17,Mobile App,South,Completed
O000117,C00705,2023-04-22,Mobile App,West,Completed
O000118,C00700,2024-02-17,Mobile App,Northeast,Completed
O000119,C01185,2025-08-15,Retail Store,Midwest,Completed
O000120,C00931,2023-11-29,Online,Northeast,Returned
O000121,C00956,2024-04-01,Mobile App,South,Completed
O000122,C00421,2024-11-09,Marketplace,West,Cancelled
O000123,C00152,2025-01-13,Retail Store,Northeast,Completed
O000124,C01293,2025-06-20,Retail Store,South,Completed
O000125,C00449,2024-08-04,Retail Store,South,Completed
O000126,C00402,2024-05-18,Online,South,Completed
O000127,C01388,2023-07-27,Mobile App,Northeast,Completed
O000128,C00431,2023-08-16,Retail Store,Midwest,Completed
O000129,C01080,2025-02-01,Marketplace,South,Completed
O000130,C00389,2023-10-23,Mobile App,South,Completed
O000131,C01303,2024-10-13,Mobile App,West,Completed
O000132,C00305,2024-01-23,Retail Store,Midwest,Completed
O000133,C01041,2024-07-27,Marketplace,South,Completed
O000134,C00343,2025-08-21,Marketplace,Northeast,Completed
O000135,C01022,2025-11-08,Marketplace,Midwest,Completed
O000136,C01466,2025-12-12,Marketplace,West,Completed
O000137,C00450,2023-03-16,Mobile App,South,Completed
O000138,C00871,2024-03-23,Marketplace,Midwest,Returned
O000139,C01128,2025-02-05,Online,Midwest,Completed
O000140,C00472,2025-06-29,Online,Midwest,Completed
O000141,C00958,2025-05-22,Marketplace,West,Completed
O000142,C00784,2024-10-11,Online,Midwest,Completed
O000143,C00169,2023-06-05,Retail Store,Midwest,Completed
O000144,C00467,2023-06-10,Online,Midwest,Completed
O000145,C00403,2024-02-15,Retail Store,Midwest,Completed
O000146,C01446,2024-07-16,Mobile App,South,Completed
O000147,C00614,2024-06-18,Retail Store,Northeast,Completed
O000148,C01188,2025-04-07,Online,West,Completed
O000149,C00467,2023-11-02,Mobile App,West,Completed
O000150,C01480,2024-04-23,Marketplace,West,Completed
O000151,C01430,2024-01-20,Marketplace,West,Completed
O000152,C00285,2023-03-03,Mobile App,Midwest,Completed
O000153,C00696,2025-10-20,Mobile App,Midwest,Completed
O000154,C00668,2025-04-06,Online,Midwest,Completed
O000155,C00677,2023-10-12,Marketplace,South,Completed
O000156,C01095,2025-03-11,Marketplace,Northeast,Completed
O000157,C00191,2025-07-13,Mobile App,Midwest,Completed
O000158,C00055,2023-03-07,Mobile App,West,Returned
O000159,C00422,2025-03-01,Mobile App,Midwest,Completed
O000160,C00755,2025-07-20,Online,Northeast,Completed
O000161,C00322,2025-04-21,Online,West,Completed
O000162,C00423,2023-05-21,Mobile App,West,Completed
O000163,C01237,2025-08-30,Retail Store,South,Completed
O000164,C00414,2025-07-28,Online,Midwest,Completed
O000165,C01077,2025-03-28,Retail Store,South,Completed
O000166,C01180,2025-07-31,Online,West,Completed
O000167,C01435,2025-07-23,Retail Store,Midwest,Completed
O000168,C00511,2023-12-25,Mobile App,West,Completed
O000169,C01350,2025-07-26,Mobile App,West,Completed
O000170,C00324,2023-03-31,Retail Store,South,Completed
O000171,C01011,2023-05-17,Marketplace,South,Completed
O000172,C00216,2025-01-25,Retail Store,Northeast,Completed
O000173,C00947,2024-02-29,Online,Northeast,Completed
O000174,C00813,2025-03-28,Online,South,Completed
O000175,C01373,2023-10-07,Marketplace,Midwest,Completed
O000176,C00288,2024-05-11,Marketplace,West,Completed
O000177,C01244,2023-12-16,Online,Northeast,Completed
O000178,C00159,2025-03-11,Online,South,Completed
O000179,C00444,2025-01-03,Online,South,Completed
O000180,C01301,2025-06-24,Online,Northeast,Completed
O000181,C00100,2023-04-18,Marketplace,Northeast,Returned
O000182,C00410,2025-02-06,Online,South,Cancelled
O000183,C01393,2024-11-21,Online,South,Completed
O000184,C00091,2023-12-10,Marketplace,South,Completed
O000185,C01280,2024-10-22,Mobile App,South,Completed
O000186,C00476,2025-05-26,Mobile App,Northeast,Completed
O000187,C01340,2023-01-31,Retail Store,West,Completed
O000188,C01332,2023-05-16,Retail Store,Midwest,Completed
O000189,C01460,2025-10-20,Mobile App,Northeast,Completed
O000190,C01389,2024-10-26,Mobile App,West,Completed
O000191,C00139,2024-10-13,Retail Store,West,Completed
O000192,C01032,2025-11-12,Online,South,Completed
O000193,C00485,2023-09-12,Marketplace,Midwest,Completed
O000194,C00768,2023-05-03,Marketplace,South,Completed
O000195,C00488,2024-02-23,Marketplace,Northeast,Completed
O000196,C01319,2024-07-23,Online,Midwest,Cancelled
O000197,C00470,2024-08-13,Retail Store,Northeast,Completed
O000198,C01408,2023-04-21,Mobile App,South,Completed
O000199,C00906,2024-10-20,Online,South,Completed
O000200,C01300,2024-01-30,Mobile App,Northeast,Completed
O000201,C00484,2023-12-22,Online,South,Completed
O000202,C00502,2023-12-03,Marketplace,South,Completed
O000203,C01302,2024-08-07,Mobile App,West,Completed
O000204,C00816,2023-06-13,Marketplace,Midwest,Completed
O000205,C00320,2025-10-31,Marketplace,West,Completed
O000206,C01219,2023-06-20,Mobile App,Midwest,Completed
O000207,C00627,2025-02-18,Marketplace,West,Completed
O000208,C00683,2025-09-11,Mobile App,Northeast,Completed
O000209,C00027,2024-01-24,Retail Store,Northeast,Returned
O000210,C00787,2025-03-19,Marketplace,Midwest,Cancelled
O000211,C00080,2023-05-26,Online,West,Completed
O000212,C00523,2024-02-02,Retail Store,West,Completed
O000213,C01334,2025-01-24,Marketplace,Northeast,Completed
O000214,C00071,2024-05-11,Retail Store,West,Completed
O000215,C01240,2023-10-30,Marketplace,Midwest,Completed
O000216,C00026,2024-05-21,Online,South,Completed
O000217,C01447,2025-02-26,Online,West,Completed
O000218,C00875,2025-05-16,Retail Store,South,Completed
O000219,C01201,2025-12-27,Retail Store,West,Completed
O000220,C01303,2023-07-02,Retail Store,Northeast,Completed
O000221,C01432,2024-03-05,Retail Store,West,Completed
O000222,C00144,2023-01-04,Marketplace,Northeast,Completed
O000223,C00362,2025-06-01,Retail Store,South,Completed
O000224,C01030,2025-09-23,Online,South,Completed
O000225,C00121,2024-01-16,Mobile App,South,Completed
O000226,C01284,2025-04-17,Online,West,Completed
O000227,C00774,2024-08-23,Online,Northeast,Completed
O000228,C00994,2024-04-25,Online,West,Completed
O000229,C00199,2023-01-15,Mobile App,Northeast,Completed
O000230,C00996,2025-12-01,Marketplace,Midwest,Completed
O000231,C01397,2024-11-20,Retail Store,Midwest,Completed
O000232,C00776,2025-01-09,Online,West,Completed
O000233,C00936,2023-07-25,Marketplace,Northeast,Completed
O000234,C01233,2023-10-12,Online,Northeast,Completed
O000235,C00926,2024-05-24,Marketplace,Midwest,Completed
O000236,C00035,2023-01-07,Retail Store,Midwest,Returned
O000237,C00479,2024-10-28,Marketplace,West,Completed
O000238,C00877,2023-06-16,Marketplace,Midwest,Completed
O000239,C00602,2023-07-25,Mobile App,West,Completed
O000240,C00262,2025-10-30,Marketplace,Northeast,Completed
O000241,C00914,2025-08-14,Online,South,Completed
O000242,C00350,2024-05-13,Online,South,Cancelled
O000243,C00669,2023-03-01,Marketplace,South,Completed
O000244,C01374,2024-06-11,Online,West,Returned
O000245,C01417,2025-10-04,Retail Store,Northeast,Returned
O000246,C00773,2023-05-13,Marketplace,Midwest,Completed
O000247,C00458,2025-06-13,Retail Store,South,Completed
O000248,C01213,2023-07-02,Mobile App,Midwest,Completed
O000249,C00642,2025-01-23,Marketplace,South,Completed
O000250,C00795,2023-05-07,Marketplace,South,Completed
O000251,C00219,2023-09-16,Marketplace,South,Completed
O000252,C01024,2024-08-30,Marketplace,South,Completed
O000253,C00633,2023-03-12,Online,Midwest,Completed
O000254,C01014,2025-09-06,Retail Store,South,Completed
O000255,C01468,2024-11-13,Mobile App,South,Returned
O000256,C00367,2024-04-05,Marketplace,Northeast,Completed
O000257,C01123,2023-11-23,Marketplace,Northeast,Completed
O000258,C00801,2024-12-14,Online,West,Completed
O000259,C00200,2024-02-04,Mobile App,West,Completed
O000260,C00938,2023-04-21,Mobile App,Midwest,Completed
O000261,C00297,2025-09-15,Mobile App,Midwest,Completed
O000262,C01487,2023-01-19,Online,Midwest,Cancelled
O000263,C00875,2023-10-30,Mobile App,West,Completed
O000264,C00108,2025-08-28,Online,South,Completed
O000265,C01285,2025-06-07,Marketplace,South,Completed
O000266,C00620,2025-03-23,Mobile App,West,Completed
O000267,C01332,2023-07-03,Marketplace,West,Completed
O000268,C00246,2025-01-22,Online,Northeast,Completed
O000269,C00048,2025-11-09,Marketplace,South,Completed
O000270,C00992,2024-01-06,Marketplace,West,Completed
O000271,C01462,2024-10-28,Mobile App,Northeast,Completed
O000272,C00131,2025-03-17,Online,West,Completed
O000273,C01227,2023-08-29,Mobile App,South,Completed
O000274,C00264,2023-09-09,Mobile App,Northeast,Completed
O000275,C00174,2024-06-09,Online,Northeast,Completed
O000276,C01348,2023-12-18,Online,West,Completed
O000277,C01350,2025-11-29,Marketplace,Midwest,Completed
O000278,C01242,2024-10-02,Mobile App,Midwest,Completed
O000279,C00076,2023-04-02,Mobile App,South,Completed
O000280,C01234,2024-03-16,Mobile App,South,Completed
O000281,C01127,2025-05-14,Retail Store,Northeast,Completed
O000282,C00935,2023-12-01,Online,West,Completed
O000283,C00145,2023-10-21,Retail Store,South,Completed
O000284,C01155,2024-01-30,Mobile App,Midwest,Completed
O000285,C00054,2025-06-07,Mobile App,West,Completed
O000286,C00675,2025-04-13,Online,Northeast,Completed
O000287,C00463,2024-07-13,Retail Store,South,Cancelled
O000288,C00216,2024-03-31,Online,West,Completed
O000289,C00196,2024-09-19,Retail Store,West,Completed
O000290,C00099,2024-07-09,Mobile App,Northeast,Completed
O000291,C01389,2024-01-06,Marketplace,Midwest,Completed
O000292,C01347,2023-01-20,Mobile App,South,Completed
O000293,C01486,2024-07-01,Retail Store,Northeast,Completed
O000294,C00375,2025-05-06,Marketplace,West,Completed
O000295,C00565,2025-10-25,Marketplace,Midwest,Completed
O000296,C01302,2024-04-13,Online,Midwest,Completed
O000297,C01300,2024-10-02,Online,Northeast,Returned
O000298,C00174,2023-12-05,Retail Store,Northeast,Completed
O000299,C01387,2023-01-22,Mobile App,West,Completed
O000300,C00831,2025-12-26,Online,Northeast,Returned
O000301,C01439,2023-01-15,Retail Store,West,Completed
O000302,C01244,2025-12-17,Marketplace,Northeast,Completed
O000303,C00359,2025-12-08,Online,South,Completed
O000304,C00866,2024-12-24,Marketplace,Northeast,Completed
O000305,C01391,2023-08-20,Mobile App,Midwest,Completed
O000306,C00613,2023-08-30,Marketplace,Midwest,Completed
O000307,C00625,2025-03-17,Online,South,Completed
O000308,C00729,2025-09-26,Online,Northeast,Completed
O000309,C00011,2024-12-25,Retail Store,Northeast,Completed
O000310,C00208,2024-12-27,Marketplace,Northeast,Completed
O000311,C00842,2025-11-19,Online,South,Completed
O000312,C00964,2024-05-27,Marketplace,South,Completed
O000313,C00223,2024-01-09,Marketplace,Midwest,Completed
O000314,C00889,2023-10-14,Online,Midwest,Completed
O000315,C00389,2024-02-11,Retail Store,Northeast,Completed
O000316,C00329,2024-11-09,Mobile App,Northeast,Returned
O000317,C00863,2024-06-28,Marketplace,Northeast,Completed
O000318,C00819,2023-09-18,Marketplace,Midwest,Returned
O000319,C00319,2023-02-13,Retail Store,South,Completed
O000320,C01390,2024-04-29,Retail Store,Northeast,Completed
O000321,C00984,2023-01-17,Retail Store,West,Completed
O000322,C01265,2025-05-28,Mobile App,South,Completed
O000323,C00540,2024-07-29,Mobile App,Northeast,Completed
O000324,C01436,2025-08-28,Mobile App,Northeast,Completed
O000325,C00247,2023-11-01,Mobile App,South,Completed
O000326,C00874,2024-01-29,Online,South,Completed
O000327,C00835,2023-04-15,Retail Store,West,Cancelled
O000328,C00873,2024-03-30,Marketplace,Midwest,Completed
O000329,C00552,2024-09-15,Retail Store,Northeast,Completed
O000330,C00656,2025-05-06,Online,South,Completed
O000331,C00585,2024-10-20,Marketplace,South,Completed
O000332,C00517,2025-06-01,Marketplace,South,Completed
O000333,C01399,2023-07-18,Mobile App,Northeast,Completed
O000334,C00488,2025-01-10,Retail Store,Midwest,Completed
O000335,C01290,2023-08-06,Online,South,Completed
O000336,C00203,2024-01-31,Online,West,Completed
O000337,C00414,2024-09-09,Mobile App,West,Completed
O000338,C00750,2024-06-01,Marketplace,Midwest,Completed
O000339,C00989,2025-06-12,Marketplace,Northeast,Returned
O000340,C01228,2023-02-14,Retail Store,South,Completed
O000341,C01421,2023-04-04,Mobile App,Northeast,Completed
O000342,C00339,2025-12-26,Marketplace,Northeast,Completed
O000343,C01244,2025-03-10,Retail Store,West,Completed
O000344,C01051,2024-03-22,Marketplace,Northeast,Completed
O000345,C00452,2024-06-14,Retail Store,Midwest,Completed
O000346,C00094,2023-12-17,Mobile App,South,Completed
O000347,C00554,2024-07-22,Online,South,Completed
O000348,C00003,2024-03-06,Retail Store,Northeast,Cancelled
O000349,C01445,2024-10-26,Retail Store,Northeast,Completed
O000350,C00118,2024-08-26,Online,Midwest,Completed
O000351,C00525,2024-07-26,Online,South,Cancelled
O000352,C01340,2023-08-06,Retail Store,West,Completed
O000353,C00452,2024-02-27,Retail Store,West,Completed
O000354,C00914,2025-03-20,Mobile App,South,Completed
O000355,C00192,2023-10-31,Marketplace,West,Completed
O000356,C01167,2023-12-27,Marketplace,South,Completed
O000357,C00636,2024-07-31,Mobile App,Northeast,Completed
O000358,C00294,2024-01-20,Online,Northeast,Completed
O000359,C01484,2025-04-04,Mobile App,Northeast,Completed
O000360,C00787,2023-07-24,Online,West,Completed
O000361,C00509,2023-03-31,Online,South,Returned
O000362,C00218,2023-01-28,Retail Store,Northeast,Completed
O000363,C01153,2023-10-13,Marketplace,West,Completed
O000364,C00500,2025-09-07,Online,South,Completed
O000365,C00092,2023-09-10,Online,Northeast,Completed
O000366,C00003,2025-04-30,Mobile App,South,Completed
O000367,C00463,2024-12-24,Marketplace,Midwest,Completed
O000368,C00348,2023-08-19,Online,West,Returned
O000369,C00157,2024-07-31,Retail Store,Midwest,Returned
O000370,C01239,2023-06-23,Mobile App,Northeast,Completed
O000371,C00308,2024-01-07,Retail Store,West,Completed
O000372,C01023,2023-08-01,Retail Store,Midwest,Completed
O000373,C00305,2023-06-06,Mobile App,Northeast,Completed
O000374,C00232,2025-09-06,Marketplace,Northeast,Completed
O000375,C00262,2023-07-05,Mobile App,Midwest,Completed
O000376,C00986,2025-10-09,Marketplace,West,Completed
O000377,C00785,2023-10-11,Marketplace,South,Completed
O000378,C00788,2025-10-05,Online,South,Completed
O000379,C00482,2024-03-25,Retail Store,Northeast,Completed
O000380,C00226,2025-08-28,Online,South,Completed
O000381,C00943,2023-10-13,Mobile App,Midwest,Completed
O000382,C00432,2025-05-12,Mobile App,South,Completed
O000383,C00054,2023-10-21,Marketplace,West,Completed
O000384,C01217,2023-06-01,Mobile App,West,Completed
O000385,C00026,2024-05-16,Marketplace,Northeast,Completed
O000386,C00963,2023-10-14,Marketplace,Midwest,Completed
O000387,C00228,2023-01-28,Mobile App,Midwest,Completed
O000388,C00023,2023-12-22,Marketplace,South,Completed
O000389,C01172,2025-07-19,Retail Store,Midwest,Completed
O000390,C00189,2023-11-18,Marketplace,Midwest,Completed
O000391,C01268,2024-03-09,Online,West,Completed
O000392,C00978,2023-06-08,Retail Store,West,Completed
O000393,C00112,2025-02-18,Retail Store,South,Completed
O000394,C00160,2023-08-11,Retail Store,Northeast,Completed
O000395,C00578,2023-02-27,Mobile App,South,Completed
O000396,C00385,2023-01-23,Mobile App,Midwest,Completed
O000397,C01168,2024-07-05,Online,Northeast,Completed
O000398,C00645,2023-04-04,Online,Northeast,Completed
O000399,C00816,2024-12-31,Mobile App,Midwest,Completed
O000400,C01440,2024-12-29,Online,South,Completed
O000401,C01029,2025-10-28,Mobile App,Northeast,Completed
O000402,C00331,2023-03-18,Mobile App,Midwest,Completed
O000403,C00442,2023-07-11,Mobile App,South,Completed
O000404,C00917,2025-10-24,Mobile App,Midwest,Completed
O000405,C01460,2025-06-01,Marketplace,Northeast,Cancelled
O000406,C01162,2023-06-03,Marketplace,South,Completed
O000407,C01022,2024-09-25,Online,Northeast,Completed
O000408,C00140,2024-08-28,Retail Store,South,Completed
O000409,C01456,2023-05-26,Marketplace,South,Completed
O000410,C01332,2024-06-08,Mobile App,West,Cancelled
O000411,C00745,2025-09-26,Retail Store,Northeast,Completed
O000412,C00752,2023-09-22,Retail Store,West,Completed
O000413,C00539,2025-11-02,Online,West,Completed
O000414,C00317,2024-05-16,Online,Northeast,Completed
O000415,C00457,2025-03-28,Marketplace,Northeast,Completed
O000416,C00960,2024-12-15,Marketplace,West,Completed
O000417,C00888,2023-08-10,Mobile App,West,Completed
O000418,C00436,2024-12-02,Marketplace,West,Completed
O000419,C00299,2023-11-15,Mobile App,West,Completed
O000420,C00741,2025-02-17,Marketplace,Northeast,Completed
O000421,C01401,2024-03-09,Marketplace,Northeast,Completed
O000422,C00142,2023-06-21,Retail Store,South,Completed
O000423,C01075,2025-07-13,Mobile App,West,Completed
O000424,C00878,2023-04-21,Retail Store,Northeast,Completed
O000425,C00859,2024-02-11,Marketplace,Midwest,Completed
O000426,C00727,2023-11-26,Marketplace,West,Completed
O000427,C01481,2024-02-11,Mobile App,Northeast,Cancelled
O000428,C00309,2024-10-10,Marketplace,Northeast,Completed
O000429,C01381,2024-10-10,Marketplace,Northeast,Completed
O000430,C01300,2025-07-11,Marketplace,South,Completed
O000431,C00385,2023-03-16,Marketplace,South,Completed
O000432,C00713,2025-02-12,Mobile App,South,Cancelled
O000433,C00746,2023-01-30,Online,Midwest,Completed
O000434,C01329,2023-09-13,Marketplace,West,Completed
O000435,C00233,2025-05-22,Mobile App,Midwest,Completed
O000436,C00782,2023-11-30,Retail Store,West,Completed
O000437,C01438,2025-06-14,Online,Midwest,Completed
O000438,C01331,2023-08-01,Online,Northeast,Completed
O000439,C01298,2025-10-13,Marketplace,Northeast,Completed
O000440,C00434,2024-08-16,Mobile App,West,Completed
O000441,C00962,2023-08-23,Online,South,Completed
O000442,C01321,2025-08-08,Marketplace,West,Completed
O000443,C00549,2025-11-05,Retail Store,Midwest,Returned
O000444,C00009,2025-04-29,Marketplace,South,Completed
O000445,C00687,2025-02-05,Mobile App,Midwest,Cancelled
O000446,C00395,2024-05-10,Marketplace,West,Completed
O000447,C01304,2025-05-28,Marketplace,South,Completed
O000448,C00896,2024-10-13,Mobile App,South,Completed
O000449,C01133,2025-03-13,Mobile App,Midwest,Completed
O000450,C00896,2023-07-11,Online,Northeast,Completed
O000451,C01172,2023-02-26,Marketplace,Northeast,Cancelled
O000452,C00491,2025-01-03,Mobile App,South,Completed
O000453,C00534,2024-05-17,Online,West,Returned
O000454,C00228,2023-02-17,Marketplace,Northeast,Completed
O000455,C00537,2023-10-18,Mobile App,Midwest,Completed
O000456,C00207,2024-03-01,Marketplace,West,Completed
O000457,C00431,2025-09-23,Marketplace,Northeast,Completed
O000458,C00369,2025-07-12,Retail Store,South,Completed
O000459,C00703,2023-03-06,Retail Store,Northeast,Completed
O000460,C01069,2023-01-11,Retail Store,South,Completed
O000461,C01061,2023-03-02,Mobile App,Northeast,Completed
O000462,C00671,2024-03-20,Mobile App,Northeast,Completed
O000463,C00561,2023-09-17,Marketplace,Midwest,Completed
O000464,C01016,2024-08-25,Marketplace,West,Completed
O000465,C00355,2024-01-31,Mobile App,Midwest,Completed
O000466,C00211,2024-07-29,Retail Store,West,Completed
O000467,C00914,2025-09-26,Marketplace,West,Completed
O000468,C01244,2024-10-14,Marketplace,Northeast,Completed
O000469,C00921,2025-02-04,Mobile App,Northeast,Returned
O000470,C00602,2024-06-02,Retail Store,West,Completed
O000471,C00381,2024-10-22,Retail Store,West,Completed
O000472,C00298,2025-01-31,Retail Store,Midwest,Completed
O000473,C00438,2023-01-23,Marketplace,Midwest,Completed
O000474,C00790,2024-04-21,Retail Store,Northeast,Completed
O000475,C01467,2023-07-30,Online,Midwest,Completed
O000476,C00656,2025-06-10,Mobile App,Midwest,Completed
O000477,C00563,2025-10-18,Marketplace,Northeast,Completed
O000478,C00485,2024-10-31,Online,West,Completed
O000479,C00583,2023-01-10,Mobile App,West,Completed
O000480,C00691,2025-12-28,Online,Northeast,Completed
O000481,C00563,2025-04-30,Retail Store,Midwest,Completed
O000482,C01255,2024-10-03,Online,West,Completed
O000483,C01313,2025-07-19,Online,West,Returned
O000484,C00459,2023-07-30,Online,Northeast,Completed
O000485,C00464,2024-10-23,Mobile App,West,Returned
O000486,C01410,2025-01-25,Online,Northeast,Completed
O000487,C00624,2023-08-15,Online,Northeast,Completed
O000488,C01431,2025-02-16,Mobile App,Midwest,Completed
O000489,C00654,2023-09-03,Mobile App,South,Completed
O000490,C01369,2025-04-26,Online,West,Completed
O000491,C00575,2025-09-05,Retail Store,West,Completed
O000492,C00607,2023-07-08,Online,Midwest,Completed
O000493,C01424,2024-05-11,Online,South,Completed
O000494,C00959,2023-01-27,Marketplace,South,Completed
O000495,C00639,2024-03-03,Marketplace,Midwest,Completed
O000496,C00449,2023-08-05,Retail Store,South,Completed
O000497,C00820,2025-11-17,Mobile App,South,Completed
O000498,C00302,2024-09-21,Marketplace,Northeast,Completed
O000499,C00944,2024-05-07,Mobile App,Northeast,Completed
O000500,C00721,2025-12-23,Retail Store,West,Completed
