order_item_id,order_id,product_id,quantity,unit_price,unit_cost,discount_percent
OI0000254,O000103,P0047,1,243.5,159.8,25
OI0000255,O000104,P0093,3,64.09,40.65,5
OI0000256,O000105,P0061,1,241.21,110.37,20
OI0000257,O000105,P0120,2,123.81,98.52,15
OI0000258,O000106,P0021,1,217.0,157.06,20
OI0000259,O000106,P0080,2,392.84,163.94,0
OI0000260,O000106,P0008,3,223.03,120.69,0
OI0000261,O000106,P0104,2,71.93,33.51,0
OI0000262,O000107,P0033,1,211.78,114.87,15
OI0000263,O000107,P0055,2,150.07,98.61,15
OI0000264,O000107,P0120,2,123.81,98.52,0
OI0000265,O000108,P0088,1,236.31,102.24,0
OI0000266,O000108,P0100,1,280.83,119.83,0
OI0000267,O000108,P0063,1,8.2,5.54,10
OI0000268,O000108,P0069,1,259.35,175.47,5
OI0000269,O000109,P0030,2,90.28,41.7,0
OI0000270,O000109,P0032,2,148.44,75.4,0
OI0000271,O000110,P0066,1,103.29,50.62,5
OI0000272,O000110,P0022,1,192.12,85.66,20
OI0000273,O000110,P0081,1,96.93,49.39,0
OI0000274,O000111,P0055,1,150.07,98.61,0
OI0000275,O000111,P0064,2,60.15,32.62,20
OI0000276,O000111,P0099,1,179.3,114.96,5
OI0000277,O000111,P0003,1,171.57,88.27,5
OI0000278,O000112,P0001,1,58.62,26.48,0
OI0000279,O000113,P0096,1,280.31,123.46,0
OI0000280,O000113,P0012,1,20.32,10.75,0
OI0000281,O000114,P0102,1,195.72,100.75,10
OI0000282,O000114,P0118,2,177.52,114.17,20
OI0000283,O000114,P0051,4,104.92,60.39,0
OI0000284,O000114,P0064,2,60.15,32.62,15
OI0000285,O000115,P0001,1,58.62,26.48,10
OI0000286,O000115,P0098,1,17.88,10.05,15
OI0000287,O000115,P0046,1,310.17,133.53,0
OI0000288,O000116,P0105,3,124.3,57.25,0
OI0000289,O000116,P0026,1,187.78,112.59,5
OI0000290,O000117,P0062,1,274.98,138.35,5
OI0000291,O000117,P0111,1,116.59,86.94,0
OI0000292,O000118,P0049,1,59.24,43.15,0
OI0000293,O000119,P0028,1,307.09,179.34,0
OI0000294,O000119,P0086,1,263.23,167.09,10
OI0000295,O000120,P0015,1,147.82,103.39,10
OI0000296,O000121,P0040,1,214.96,89.94,5
OI0000297,O000121,P0038,-1,81.71,51.71,20
OI0000298,O000121,P0034,2,265.11,120.64,5
OI0000299,O000122,P0002,1,230.82,108.89,10
OI0000300,O000122,P0118,1,177.52,114.17,20
OI0000301,O000122,P0027,1,283.79,152.07,15
OI0000302,O000123,P0035,2,326.93,146.56,0
OI0000303,O000123,P0014,3,189.67,104.55,0
OI0000304,O000124,P0108,2,299.87,137.39,10
OI0000305,O000125,P0045,1,354.19,170.05,0
OI0000306,O000125,P0036,2,71.47,40.11,10
OI0000307,O000125,P0089,1,49.96,38.06,10
OI0000308,O000125,P0072,1,272.32,149.77,20
OI0000309,O000126,P0087,3,136.09,59.78,0
OI0000310,O000126,P0083,1,63.1,34.73,5
OI0000311,O000126,P0005,1,181.52,92.02,5
OI0000312,O000126,P0090,2,60.09,33.62,15
OI0000313,O000127,P0028,3,307.09,179.34,0
OI0000314,O000127,P0046,2,310.17,133.53,25
OI0000315,O000127,P0009,1,102.74,56.37,10
OI0000316,O000127,P0086,3,263.23,167.09,15
OI0000317,O000128,P0119,2,78.86,37.39,10
OI0000318,O000128,P0045,1,354.19,170.05,0
OI0000319,O000128,P0116,1,53.16,36.42,0
OI0000320,O000129,P0011,2,116.27,72.14,0
OI0000321,O000130,P0073,2,372.75,170.56,0
OI0000322,O000130,P0102,4,195.72,100.75,15
OI0000323,O000130,P0033,1,211.78,114.87,10
OI0000324,O000131,P0034,1,265.11,120.64,15
OI0000325,O000132,P0001,1,58.62,26.48,10
OI0000326,O000133,P0065,1,270.21,125.01,5
OI0000327,O000133,P0081,1,96.93,49.39,0
OI0000328,O000134,P0003,3,171.57,88.27,20
OI0000329,O000134,P0009,1,102.74,56.37,20
OI0000330,O000134,P0103,3,100.44,47.01,0
OI0000331,O000134,P0053,1,23.29,11.09,10
OI0000332,O000135,P0019,1,36.3,22.04,20
OI0000333,O000135,P0068,1,103.65,44.29,5
OI0000334,O000135,P0039,1,66.47,46.73,10
OI0000335,O000136,P0091,1,196.39,82.27,10
OI0000336,O000136,P0050,3,171.47,76.47,0
OI0000337,O000136,P0080,1,392.84,163.94,10
OI0000338,O000137,P0104,1,71.93,33.51,15
OI0000339,O000137,P0059,1,310.18,133.96,0
OI0000340,O000137,P0111,1,116.59,86.94,0
OI0000341,O000138,P0080,1,392.84,163.94,15
OI0000342,O000138,P0083,1,63.1,34.73,5
OI0000343,O000139,P0060,-1,306.49,149.27,15
OI0000344,O000140,P0087,1,136.09,59.78,5
OI0000345,O000140,P0092,1,51.3,24.69,10
OI0000346,O000140,P0100,-1,280.83,119.83,10
OI0000347,O000141,P0072,2,272.32,149.77,5
OI0000348,O000141,P0114,2,41.45,23.84,0
OI0000349,O000142,P0113,1,152.02,79.85,0
OI0000350,O000142,P0039,1,66.47,46.73,0
OI0000351,O000142,P0040,1,214.96,89.94,10
OI0000352,O000142,P0088,4,236.31,102.24,0
OI0000353,O000143,P0113,1,152.02,79.85,0
OI0000354,O000143,P0044,1,279.36,162.6,0
OI0000355,O000143,P0108,2,299.87,137.39,0
OI0000356,O000143,P0030,1,90.28,41.7,15
OI0000357,O000144,P0111,1,116.59,86.94,0
OI0000358,O000144,P0112,2,361.01,177.23,0
OI0000359,O000145,P0059,1,310.18,133.96,10
OI0000360,O000145,P0095,1,202.91,139.2,20
OI0000361,O000146,P0010,1,236.09,100.66,20
OI0000362,O000147,P0055,1,150.07,98.61,20
OI0000363,O000147,P0004,1,114.79,53.81,0
OI0000364,O000147,P0078,4,268.06,129.83,10
OI0000365,O000148,P0070,1,131.06,75.18,0
OI0000366,O000149,P0075,1,134.51,78.21,15
OI0000367,O000149,P0105,3,124.3,57.25,10
OI0000368,O000150,P0036,2,71.47,40.11,0
OI0000369,O000151,P0047,2,243.5,159.8,5
OI0000370,O000152,P0105,2,124.3,57.25,20
OI0000371,O000153,P0105,1,124.3,57.25,10
OI0000372,O000153,P0108,1,299.87,137.39,0
OI0000373,O000154,P0113,4,152.02,79.85,5
OI0000374,O000154,P0086,1,263.23,167.09,0
OI0000375,O000154,P0067,2,33.07,19.77,0
OI0000376,O000154,P0045,1,354.19,170.05,5
OI0000377,O000155,P0067,1,33.07,19.77,0
OI0000378,O000155,P0089,1,49.96,38.06,15
OI0000379,O000155,P0038,1,81.71,51.71,0
OI0000380,O000155,P0023,1,15.34,8.57,0
OI0000381,O000156,P0078,1,268.06,129.83,15
OI0000382,O000157,P0091,1,196.39,82.27,5
OI0000383,O000157,P0079,1,28.55,21.67,15
OI0000384,O000158,P0012,1,20.32,10.75,0
OI0000385,O000158,P0115,1,66.66,49.6,0
OI0000386,O000159,P0036,2,71.47,40.11,5
OI0000387,O000160,P0024,2,169.87,104.81,10
OI0000388,O000160,P0090,1,60.09,33.62,0
OI0000389,O000160,P0113,1,152.02,79.85,10
OI0000390,O000161,P0023,1,15.34,8.57,0
OI0000391,O000162,P0067,1,33.07,19.77,25
OI0000392,O000162,P0049,1,59.24,43.15,0
OI0000393,O000163,P0118,1,177.52,114.17,10
OI0000394,O000164,P0028,2,307.09,179.34,0
OI0000395,O000164,P0039,3,66.47,46.73,25
OI0000396,O000165,P0028,1,307.09,179.34,15
OI0000397,O000165,P0056,1,385.75,167.31,5
OI0000398,O000165,P0066,1,103.29,50.62,20
OI0000399,O000165,P0056,-1,385.75,167.31,0
OI0000400,O000166,P0110,4,311.63,167.87,10
OI0000401,O000166,P0009,1,102.74,56.37,10
OI0000402,O000166,P0071,2,66.14,34.77,0
OI0000403,O000166,P0004,2,114.79,53.81,10
OI0000404,O000167,P0068,4,103.65,44.29,20
OI0000405,O000167,P0086,2,263.23,167.09,10
OI0000406,O000167,P0083,1,63.1,34.73,15
OI0000407,O000168,P0053,1,23.29,11.09,0
OI0000408,O000168,P0080,1,392.84,163.94,0
OI0000409,O000169,P0051,1,104.92,60.39,20
OI0000410,O000169,P0045,4,354.19,170.05,0
OI0000411,O000169,P0103,1,100.44,47.01,5
OI0000412,O000170,P0104,2,71.93,33.51,5
OI0000413,O000170,P0072,1,272.32,149.77,15
OI0000414,O000170,P0078,3,268.06,129.83,20
OI0000415,O000171,P0048,2,316.06,150.66,10
OI0000416,O000172,P0063,1,8.2,5.54,5
OI0000417,O000173,P0076,1,81.73,46.21,0
OI0000418,O000173,P0011,2,116.27,72.14,20
OI0000419,O000174,P0083,1,63.1,34.73,10
OI0000420,O000174,P0022,2,192.12,85.66,0
OI0000421,O000175,P0050,1,171.47,76.47,10
OI0000422,O000176,P0100,1,280.83,119.83,10
OI0000423,O000177,P0054,2,83.38,49.27,0
OI0000424,O000177,P0032,1,148.44,75.4,0
OI0000425,O000177,P0052,3,142.04,68.52,15
OI0000426,O000177,P0095,4,202.91,139.2,0
OI0000427,O000178,P0091,1,196.39,82.27,5
OI0000428,O000178,P0001,2,58.62,26.48,10
OI0000429,O000178,P0023,1,15.34,8.57,0
OI0000430,O000179,P0101,1,338.95,156.07,0
OI0000431,O000179,P0058,1,224.02,143.13,15
OI0000432,O000179,P0016,4,182.65,108.43,0
OI0000433,O000179,P0005,3,181.52,92.02,0
OI0000434,O000180,P0066,2,103.29,50.62,15
OI0000435,O000180,P0082,1,64.05,28.14,0
OI0000436,O000180,P0033,4,211.78,114.87,0
OI0000437,O000181,P0057,1,95.09,41.82,20
OI0000438,O000182,P0083,2,63.1,34.73,15
OI0000439,O000183,P0027,2,283.79,152.07,0
OI0000440,O000183,P0010,1,236.09,100.66,0
OI0000441,O000183,P0114,2,41.45,23.84,15
OI0000442,O000183,P0084,1,42.76,20.69,5
OI0000443,O000184,P0045,1,354.19,170.05,0
OI0000444,O000184,P0119,1,78.86,37.39,10
OI0000445,O000185,P0071,1,66.14,34.77,25
OI0000446,O000186,P0046,1,310.17,133.53,5
OI0000447,O000186,P0120,2,123.81,98.52,5
OI0000448,O000187,P0106,1,56.39,27.98,0
OI0000449,O000187,P0109,3,39.14,21.27,20
OI0000450,O000187,P0036,2,71.47,40.11,5
OI0000451,O000188,P0033,2,211.78,114.87,5
OI0000452,O000188,P0084,2,42.76,20.69,10
OI0000453,O000188,P0089,1,49.96,38.06,5
OI0000454,O000188,P0025,1,187.19,125.9,10
OI0000455,O000189,P0012,1,20.32,10.75,0
OI0000456,O000189,P0120,4,123.81,98.52,10
OI0000457,O000190,P0071,2,66.14,34.77,15
OI0000458,O000190,P0107,1,140.71,82.95,0
OI0000459,O000190,P0106,1,56.39,27.98,5
OI0000460,O000191,P0094,3,309.52,160.91,10
OI0000461,O000191,P0067,1,33.07,19.77,5
OI0000462,O000191,P0007,1,180.16,110.8,0
OI0000463,O000192,P0049,2,59.24,43.15,0
OI0000464,O000192,P0071,-1,66.14,34.77,5
OI0000465,O000192,P0056,3,385.75,167.31,0
OI0000466,O000192,P0023,1,15.34,8.57,0
OI0000467,O000193,P0033,3,211.78,114.87,0
OI0000468,O000193,P0016,2,182.65,108.43,5
OI0000469,O000193,P0052,1,142.04,68.52,0
OI0000470,O000194,P0009,2,102.74,56.37,0
OI0000471,O000194,P0098,4,17.88,10.05,0
OI0000472,O000195,P0027,2,283.79,152.07,0
OI0000473,O000195,P0107,2,140.71,82.95,0
OI0000474,O000195,P0088,2,236.31,102.24,0
OI0000475,O000195,P0043,1,33.48,14.68,10
OI0000476,O000196,P0035,1,326.93,146.56,0
OI0000477,O000196,P0031,1,254.7,145.72,10
OI0000478,O000196,P0073,3,372.75,170.56,0
OI0000479,O000197,P0067,1,33.07,19.77,10
OI0000480,O000197,P0066,3,103.29,50.62,10
OI0000481,O000197,P0096,4,280.31,123.46,0
OI0000482,O000198,P0115,1,66.66,49.6,15
OI0000483,O000198,P0100,1,280.83,119.83,0
OI0000484,O000199,P0058,4,224.02,143.13,0
OI0000485,O000199,P0051,2,104.92,60.39,0
OI0000486,O000200,P0067,1,33.07,19.77,15
OI0000487,O000200,P0029,4,35.33,21.58,20
OI0000488,O000201,P0068,3,103.65,44.29,15
OI0000489,O000201,P0092,1,51.3,24.69,0
OI0000490,O000201,P0021,1,217.0,157.06,0
OI0000491,O000202,P0093,3,64.09,40.65,0
OI0000492,O000202,P0040,1,214.96,89.94,0
OI0000493,O000203,P0018,4,281.84,146.67,110
OI0000494,O000203,P0025,1,187.19,125.9,15
OI0000495,O000203,P0062,2,274.98,138.35,5
OI0000496,O000204,P0118,2,177.52,114.17,0
OI0000497,O000204,P0107,1,140.71,82.95,0
OI0000498,O000204,P0013,1,127.84,91.01,10
OI0000499,O000205,P0070,1,131.06,75.18,0
OI0000500,O000205,P0073,1,372.75,170.56,10
OI0000501,O000206,P0112,1,361.01,177.23,0
OI0000502,O000206,P0080,4,392.84,163.94,10
OI0000503,O000206,P0078,2,268.06,129.83,5
OI0000504,O000206,P0113,1,152.02,79.85,10
OI0000505,O000207,P0091,2,196.39,82.27,0
OI0000506,O000207,P0103,1,100.44,47.01,0
OI0000507,O000208,P0077,1,9.56,6.81,5
OI0000508,O000208,P0063,3,8.2,5.54,5
OI0000509,O000209,P0070,1,131.06,75.18,5
OI0000510,O000209,P0070,1,131.06,75.18,0
OI0000511,O000210,P0054,1,83.38,49.27,0
OI0000512,O000210,P0039,1,66.47,46.73,5
OI0000513,O000210,P0005,2,181.52,92.02,0
OI0000514,O000210,P0034,2,265.11,120.64,0
OI0000515,O000211,P0038,2,81.71,51.71,5
OI0000516,O000211,P0001,2,58.62,26.48,10
OI0000517,O000212,P0086,2,263.23,167.09,0
OI0000518,O000212,P0087,4,136.09,59.78,0
OI0000519,O000212,P0005,4,181.52,92.02,5
OI0000520,O000213,P0064,1,60.15,32.62,0
OI0000521,O000213,P0024,4,169.87,104.81,5
OI0000522,O000213,P0088,2,236.31,102.24,10
OI0000523,O000214,P0077,3,9.56,6.81,5
OI0000524,O000214,P0103,1,100.44,47.01,0
OI0000525,O000214,P0066,1,103.29,50.62,20
OI0000526,O000215,P0022,3,192.12,85.66,0
OI0000527,O000215,P0039,2,66.47,46.73,0
OI0000528,O000215,P0109,1,39.14,21.27,0
OI0000529,O000215,P0069,1,259.35,175.47,10
OI0000530,O000216,P0109,1,39.14,21.27,15
OI0000531,O000216,P0039,1,66.47,46.73,0
OI0000532,O000217,P0058,1,224.02,143.13,10
OI0000533,O000217,P0047,2,243.5,159.8,5
OI0000534,O000217,P0022,1,192.12,85.66,20
OI0000535,O000217,P0088,1,236.31,102.24,15
