payment_id,order_id,payment_method,payment_status
PMT000129,O000129,Gift Card,Paid
PMT000130,O000130,Credit Card,Paid
PMT000131,O000131,Credit Card,Paid
PMT000132,O000132,Buy Now Pay Later,Paid
PMT000133,O000133,Gift Card,Pending
PMT000134,O000134,PayPal,Paid
PMT000135,O000135,PayPal,Pending
PMT000136,O000136,Gift Card,Pending
PMT000137,O000137,Debit Card,Paid
PMT000138,O000138,Buy Now Pay Later,Refunded
PMT000139,O000139,Credit Card,Paid
PMT000140,O000140,Credit Card,Paid
PMT000141,O000141,Gift Card,Pending
PMT000142,O000142,Buy Now Pay Later,Paid
PMT000143,O000143,Credit Card,Pending
PMT000144,O000144,Buy Now Pay Later,Pending
PMT000145,O000145,Gift Card,Pending
PMT000146,O000146,Gift Card,Paid
PMT000147,O000147,Gift Card,Pending
PMT000148,O000148,Gift Card,Paid
PMT000149,O000149,Buy Now Pay Later,Pending
PMT000150,O000150,Gift Card,Pending
PMT000151,O000151,Buy Now Pay Later,Pending
PMT000152,O000152,Gift Card,Paid
PMT000153,O000153,PayPal,Paid
PMT000154,O000154,Gift Card,Pending
PMT000155,O000155,Debit Card,Pending
PMT000156,O000156,Debit Card,Paid
PMT000157,O000157,Debit Card,Paid
PMT000158,O000158,PayPal,Refunded
PMT000159,O000159,Credit Card,Paid
PMT000160,O000160,Credit Card,Paid
PMT000161,O000161,PayPal,Paid
PMT000162,O000162,Buy Now Pay Later,Pending
PMT000163,O000163,PayPal,Pending
PMT000164,O000164,Credit Card,Paid
PMT000165,O000165,Buy Now Pay Later,Paid
PMT000166,O000166,Credit Card,Paid
PMT000167,O000167,Credit Card,Paid
PMT000168,O000168,Gift Card,Paid
PMT000169,O000169,PayPal,Paid
PMT000170,O000170,Buy Now Pay Later,Pending
PMT000171,O000171,Debit Card,Paid
PMT000172,O000172,Buy Now Pay Later,Paid
PMT000173,O000173,PayPal,Paid
PMT000174,O000174,Gift Card,Paid
PMT000175,O000175,Debit Card,Pending
PMT000176,O000176,PayPal,Paid
PMT000177,O000177,PayPal,Paid
PMT000178,O000178,Credit Card,Paid
PMT000179,O000179,PayPal,Paid
PMT000180,O000180,PayPal,Paid
PMT000181,O000181,Gift Card,Refunded
PMT000182,O000182,Debit Card,Paid
PMT000183,O000183,Credit Card,Paid
PMT000184,O000184,PayPal,Paid
PMT000185,O000185,Credit Card,Paid
PMT000186,O000186,Gift Card,Paid
PMT000187,O000187,Debit Card,Paid
PMT000188,O000188,Debit Card,Paid
PMT000189,O000189,Buy Now Pay Later,Paid
PMT000190,O000190,Gift Card,Paid
PMT000191,O000191,Gift Card,Pending
PMT000192,O000192,Debit Card,Paid
PMT000193,O000193,Credit Card,Paid
PMT000194,O000194,Credit Card,Paid
PMT000195,O000195,Buy Now Pay Later,Paid
PMT000196,O000196,PayPal,Paid
PMT000197,O000197,Credit Card,Paid
PMT000198,O000198,Credit Card,Paid
PMT000199,O000199,PayPal,Pending
PMT000200,O000200,Buy Now Pay Later,Pending
PMT000201,O000201,Debit Card,Pending
PMT000202,O000202,PayPal,Paid
PMT000203,O000203,Credit Card,Pending
PMT000204,O000204,Gift Card,Paid
PMT000205,O000205,PayPal,Paid
PMT000206,O000206,Debit Card,Pending
PMT000207,O000207,Gift Card,Paid
PMT000208,O000208,Debit Card,Pending
PMT000209,O000209,Debit Card,Refunded
PMT000210,O000210,PayPal,Paid
PMT000211,O000211,Gift Card,Paid
PMT000212,O000212,PayPal,Paid
PMT000213,O000213,PayPal,Paid
PMT000214,O000214,Gift Card,Paid
PMT000215,O000215,Debit Card,Pending
PMT000216,O000216,Debit Card,Paid
PMT000217,O000217,PayPal,Paid
PMT000218,O000218,PayPal,Paid
PMT000219,O000219,PayPal,Paid
PMT000220,O000220,PayPal,Paid
PMT000221,O000221,Debit Card,Pending
PMT000222,O000222,Buy Now Pay Later,Pending
PMT000223,O000223,Gift Card,Paid
PMT000224,O000224,Debit Card,Paid
PMT000225,O000225,Gift Card,Paid
PMT000226,O000226,Credit Card,Paid
PMT000227,O000227,Buy Now Pay Later,Paid
PMT000228,O000228,PayPal,Pending
PMT000229,O000229,Credit Card,Paid
PMT000230,O000230,Debit Card,Paid
PMT000231,O000231,Debit Card,Paid
PMT000232,O000232,Gift Card,Paid
PMT000233,O000233,Buy Now Pay Later,Pending
PMT000234,O000234,Credit Card,Paid
PMT000235,O000235,Debit Card,Pending
PMT000236,O000236,Gift Card,Refunded
PMT000237,O000237,Debit Card,Paid
PMT000238,O000238,PayPal,Paid
PMT000239,O000239,Buy Now Pay Later,Paid
PMT000240,O000240,Credit Card,Pending
PMT000241,O000241,Credit Card,Paid
PMT000242,O000242,Credit Card,Pending
PMT000243,O000243,PayPal,Pending
PMT000244,O000244,Gift Card,Refunded
PMT000245,O000245,Credit Card,Refunded
PMT000246,O000246,PayPal,Paid
PMT000247,O000247,Gift Card,Paid
PMT000248,O000248,PayPal,Pending
PMT000249,O000249,Gift Card,Paid
PMT000250,O000250,Credit Card,Paid
PMT000251,O000251,Debit Card,Pending
PMT000252,O000252,Buy Now Pay Later,Paid
PMT000253,O000253,Gift Card,Paid
PMT000254,O000254,Debit Card,Paid
PMT000255,O000255,Credit Card,Refunded
PMT000256,O000256,Buy Now Pay Later,Paid
PMT000257,O000257,Debit Card,Paid
PMT000258,O000258,Buy Now Pay Later,Paid
PMT000259,O000259,Buy Now Pay Later,Paid
PMT000260,O000260,PayPal,Paid
PMT000261,O000261,PayPal,Paid
PMT000262,O000262,Credit Card,Paid
PMT000263,O000263,Debit Card,Pending
PMT000264,O000264,Buy Now Pay Later,Paid
PMT000265,O000265,Buy Now Pay Later,Pending
PMT000266,O000266,Gift Card,Paid
PMT000267,O000267,PayPal,Paid
PMT000268,O000268,Debit Card,Paid
PMT000269,O000269,Buy Now Pay Later,Paid
PMT000270,O000270,PayPal,Paid
PMT000271,O000271,Credit Card,Paid
PMT000272,O000272,Debit Card,Paid
PMT000273,O000273,Gift Card,Paid
PMT000274,O000274,Gift Card,Paid
PMT000275,O000275,Gift Card,Pending
PMT000276,O000276,Credit Card,Paid
PMT000277,O000277,Gift Card,Pending
PMT000278,O000278,Gift Card,Paid
PMT000279,O000279,Gift Card,Pending
PMT000280,O000280,Gift Card,Paid
PMT000281,O000281,Debit Card,Pending
PMT000282,O000282,PayPal,Pending
PMT000283,O000283,Buy Now Pay Later,Paid
PMT000284,O000284,Debit Card,Paid
PMT000285,O000285,Gift Card,Paid
PMT000286,O000286,Gift Card,Pending
PMT000287,O000287,Credit Card,Paid
PMT000288,O000288,PayPal,Paid
PMT000289,O000289,Debit Card,Paid
PMT000290,O000290,Credit Card,Paid
PMT000291,O000291,Gift Card,Paid
PMT000292,O000292,PayPal,Paid
PMT000293,O000293,PayPal,Paid
PMT000294,O000294,PayPal,Pending
PMT000295,O000295,Debit Card,Paid
PMT000296,O000296,Buy Now Pay Later,Paid
PMT000297,O000297,Gift Card,Refunded
PMT000298,O000298,Buy Now Pay Later,Pending
PMT000299,O000299,Credit Card,Paid
PMT000300,O000300,PayPal,Refunded
PMT000301,O000301,Credit Card,Paid
PMT000302,O000302,PayPal,Paid
PMT000303,O000303,Credit Card,Pending
PMT000304,O000304,Credit Card,Paid
PMT000305,O000305,Credit Card,Paid
PMT000306,O000306,PayPal,Paid
PMT000307,O000307,Buy Now Pay Later,Paid
PMT000308,O000308,Credit Card,Paid
PMT000309,O000309,Credit Card,Paid
PMT000310,O000310,Debit Card,Paid
PMT000311,O000311,Debit Card,Pending
PMT000312,O000312,Debit Card,Paid
PMT000313,O000313,Gift Card,Paid
PMT000314,O000314,PayPal,Paid
PMT000315,O000315,Debit Card,Pending
PMT000316,O000316,Gift Card,Refunded
PMT000317,O000317,Credit Card,Paid
PMT000318,O000318,Credit Card,Refunded
PMT000319,O000319,Buy Now Pay Later,Paid
PMT000320,O000320,Credit Card,Paid
PMT000321,O000321,Credit Card,Paid
PMT000322,O000322,Buy Now Pay Later,Paid
PMT000323,O000323,Debit Card,Paid
PMT000324,O000324,Debit Card,Paid
PMT000325,O000325,Debit Card,Pending
PMT000326,O000326,PayPal,Paid
PMT000327,O000327,Gift Card,Paid
PMT000328,O000328,Gift Card,Pending
PMT000329,O000329,Buy Now Pay Later,Paid
PMT000330,O000330,Gift Card,Pending
PMT000331,O000331,Credit Card,Pending
PMT000332,O000332,Gift Card,Pending
PMT000333,O000333,Credit Card,Paid
PMT000334,O000334,Buy Now Pay Later,Pending
PMT000335,O000335,Buy Now Pay Later,Pending
PMT000336,O000336,Buy Now Pay Later,Paid
PMT000337,O000337,Debit Card,Paid
PMT000338,O000338,Buy Now Pay Later,Paid
PMT000339,O000339,PayPal,Refunded
PMT000340,O000340,PayPal,Paid
PMT000341,O000341,PayPal,Pending
PMT000342,O000342,Buy Now Pay Later,Pending
PMT000343,O000343,PayPal,Paid
PMT000344,O000344,PayPal,Paid
PMT000345,O000345,Gift Card,Paid
PMT000346,O000346,Credit Card,Paid
PMT000347,O000347,PayPal,Pending
PMT000348,O000348,Gift Card,Paid
PMT000349,O000349,PayPal,Pending
PMT000350,O000350,Gift Card,Paid
PMT000351,O000351,Buy Now Pay Later,Paid
PMT000352,O000352,Buy Now Pay Later,Paid
PMT000353,O000353,Debit Card,Paid
PMT000354,O000354,Credit Card,Paid
PMT000355,O000355,PayPal,Paid
PMT000356,O000356,Buy Now Pay Later,Pending
PMT000357,O000357,Gift Card,Paid
PMT000358,O000358,Buy Now Pay Later,Paid
PMT000359,O000359,PayPal,Paid
PMT000360,O000360,Debit Card,Pending
PMT000361,O000361,Buy Now Pay Later,Refunded
PMT000362,O000362,PayPal,Paid
PMT000363,O000363,Gift Card,Paid
PMT000364,O000364,Buy Now Pay Later,Paid
PMT000365,O000365,PayPal,Paid
PMT000366,O000366,Debit Card,Paid
PMT000367,O000367,Credit Card,Paid
PMT000368,O000368,Gift Card,Refunded
PMT000369,O000369,Gift Card,Refunded
PMT000370,O000370,Gift Card,Paid
PMT000371,O000371,PayPal,Paid
PMT000372,O000372,Debit Card,Pending
PMT000373,O000373,PayPal,Paid
PMT000374,O000374,Gift Card,Pending
PMT000375,O000375,Debit Card,Paid
PMT000376,O000376,Buy Now Pay Later,Paid
PMT000377,O000377,Buy Now Pay Later,Paid
PMT000378,O000378,Credit Card,Paid
PMT000379,O000379,Gift Card,Paid
PMT000380,O000380,PayPal,Paid
PMT000381,O000381,Debit Card,Paid
PMT000382,O000382,PayPal,Paid
PMT000383,O000383,PayPal,Paid
PMT000384,O000384,Credit Card,Paid
PMT000385,O000385,PayPal,Pending
PMT000386,O000386,Gift Card,Paid
PMT000387,O000387,Debit Card,Paid
PMT000388,O000388,Buy Now Pay Later,Pending
PMT000389,O000389,PayPal,Paid
PMT000390,O000390,Credit Card,Paid
PMT000391,O000391,Credit Card,Paid
PMT000392,O000392,Buy Now Pay Later,Pending
PMT000393,O000393,Gift Card,Paid
PMT000394,O000394,Credit Card,Paid
PMT000395,O000395,Credit Card,Paid
PMT000396,O000396,Credit Card,Paid
PMT000397,O000397,PayPal,Paid
PMT000398,O000398,Buy Now Pay Later,Paid
PMT000399,O000399,Buy Now Pay Later,Pending
PMT000400,O000400,Gift Card,Paid
PMT000401,O000401,PayPal,Paid
PMT000402,O000402,Credit Card,Paid
PMT000403,O000403,Buy Now Pay Later,Paid
PMT000404,O000404,Buy Now Pay Later,Paid
PMT000405,O000405,Buy Now Pay Later,Paid
PMT000406,O000406,Debit Card,Paid
PMT000407,O000407,Credit Card,Paid
PMT000408,O000408,Credit Card,Paid
PMT000409,O000409,PayPal,Paid
PMT000410,O000410,Credit Card,Paid
PMT000411,O000411,Gift Card,Paid
PMT000412,O000412,Buy Now Pay Later,Pending
PMT000413,O000413,PayPal,Paid
PMT000414,O000414,PayPal,Paid
PMT000415,O000415,Gift Card,Paid
PMT000416,O000416,Gift Card,Pending
PMT000417,O000417,Gift Card,Paid
PMT000418,O000418,Buy Now Pay Later,Paid
PMT000419,O000419,Gift Card,Pending
PMT000420,O000420,Buy Now Pay Later,Paid
PMT000421,O000421,Credit Card,Paid
PMT000422,O000422,Credit Card,Pending
PMT000423,O000423,Buy Now Pay Later,Pending
PMT000424,O000424,Debit Card,Pending
PMT000425,O000425,Buy Now Pay Later,Paid
PMT000426,O000426,Debit Card,Paid
PMT000427,O000427,Debit Card,Paid
PMT000428,O000428,Credit Card,Pending
PMT000429,O000429,Debit Card,Paid
PMT000430,O000430,Gift Card,Paid
PMT000431,O000431,Buy Now Pay Later,Paid
PMT000432,O000432,Debit Card,Paid
PMT000433,O000433,Debit Card,Paid
PMT000434,O000434,Debit Card,Paid
PMT000435,O000435,Gift Card,Paid
PMT000436,O000436,PayPal,Paid
PMT000437,O000437,Debit Card,Paid
PMT000438,O000438,Credit Card,Paid
PMT000439,O000439,Debit Card,Pending
PMT000440,O000440,Credit Card,Paid
PMT000441,O000441,Buy Now Pay Later,Paid
PMT000442,O000442,PayPal,Paid
PMT000443,O000443,PayPal,Refunded
PMT000444,O000444,PayPal,Paid
PMT000445,O000445,PayPal,Paid
PMT000446,O000446,Debit Card,Pending
PMT000447,O000447,Buy Now Pay Later,Paid
PMT000448,O000448,Gift Card,Paid
PMT000449,O000449,Debit Card,Pending
PMT000450,O000450,Buy Now Pay Later,Paid
PMT000451,O000451,PayPal,Paid
PMT000452,O000452,Debit Card,Paid
PMT000453,O000453,Debit Card,Refunded
PMT000454,O000454,Credit Card,Paid
PMT000455,O000455,Debit Card,Paid
PMT000456,O000456,Buy Now Pay Later,Pending
PMT000457,O000457,Gift Card,Paid
PMT000458,O000458,Buy Now Pay Later,Pending
PMT000459,O000459,PayPal,Pending
PMT000460,O000460,Gift Card,Paid
PMT000461,O000461,PayPal,Paid
PMT000462,O000462,Gift Card,Paid
PMT000463,O000463,Buy Now Pay Later,Paid
PMT000464,O000464,Debit Card,Paid
PMT000465,O000465,PayPal,Paid
PMT000466,O000466,Buy Now Pay Later,Paid
PMT000467,O000467,PayPal,Paid
PMT000468,O000468,Buy Now Pay Later,Paid
PMT000469,O000469,Gift Card,Refunded
PMT000470,O000470,Buy Now Pay Later,Paid
PMT000471,O000471,Buy Now Pay Later,Paid
PMT000472,O000472,Credit Card,Pending
PMT000473,O000473,Credit Card,Paid
PMT000474,O000474,PayPal,Paid
PMT000475,O000475,Buy Now Pay Later,Pending
PMT000476,O000476,PayPal,Paid
PMT000477,O000477,Credit Card,Paid
PMT000478,O000478,Gift Card,Pending
PMT000479,O000479,Buy Now Pay Later,Pending
PMT000480,O000480,PayPal,Paid
PMT000481,O000481,PayPal,Paid
PMT000482,O000482,Debit Card,Pending
PMT000483,O000483,PayPal,Refunded
PMT000484,O000484,PayPal,Paid
PMT000485,O000485,PayPal,Refunded
PMT000486,O000486,Gift Card,Pending
PMT000487,O000487,PayPal,Paid
PMT000488,O000488,Credit Card,Paid
PMT000489,O000489,PayPal,Paid
PMT000490,O000490,Buy Now Pay Later,Pending
PMT000491,O000491,Debit Card,Paid
PMT000492,O000492,Credit Card,Paid
PMT000493,O000493,Debit Card,Pending
PMT000494,O000494,Credit Card,Paid
PMT000495,O000495,Debit Card,Paid
PMT000496,O000496,Buy Now Pay Later,Paid
PMT000497,O000497,Gift Card,Pending
PMT000498,O000498,Buy Now Pay Later,Paid
PMT000499,O000499,Credit Card,Paid
PMT000500,O000500,Gift Card,Paid
PMT000501,O000501,Gift Card,Paid
PMT000502,O000502,Debit Card,Paid
PMT000503,O000503,Debit Card,Paid
PMT000504,O000504,Debit Card,Paid
PMT000505,O000505,PayPal,Pending
PMT000506,O000506,Debit Card,Pending
PMT000507,O000507,Gift Card,Paid
PMT000508,O000508,PayPal,Pending
PMT000509,O000509,PayPal,Refunded
PMT000510,O000510,Buy Now Pay Later,Paid
PMT000511,O000511,Buy Now Pay Later,Paid
PMT000512,O000512,Credit Card,Pending
PMT000513,O000513,Debit Card,Refunded
PMT000514,O000514,Gift Card,Paid
PMT000515,O000515,Gift Card,Paid
PMT000516,O000516,Buy Now Pay Later,Paid
PMT000517,O000517,Credit Card,Paid
PMT000518,O000518,Debit Card,Paid
PMT000519,O000519,Debit Card,Pending
PMT000520,O000520,PayPal,Pending
PMT000521,O000521,Gift Card,Pending
PMT000522,O000522,Credit Card,Pending
PMT000523,O000523,Buy Now Pay Later,Pending
PMT000524,O000524,PayPal,Refunded
PMT000525,O000525,Buy Now Pay Later,Pending
PMT000526,O000526,Debit Card,Paid
PMT000527,O000527,PayPal,Paid
PMT000528,O000528,Buy Now Pay Later,Paid
PMT000529,O000529,Debit Card,Paid
PMT000530,O000530,Credit Card,Paid
PMT000531,O000531,Debit Card,Refunded
PMT000532,O000532,Buy Now Pay Later,Pending
PMT000533,O000533,Credit Card,Paid
PMT000534,O000534,Gift Card,Pending
PMT000535,O000535,PayPal,Paid
PMT000536,O000536,Gift Card,Refunded
PMT000537,O000537,Credit Card,Paid
PMT000538,O000538,Gift Card,Paid
PMT000539,O000539,Credit Card,Pending
PMT000540,O000540,Credit Card,Paid
PMT000541,O000541,Credit Card,Paid
PMT000542,O000542,PayPal,Paid
PMT000543,O000543,Debit Card,Pending
PMT000544,O000544,Debit Card,Paid
PMT000545,O000545,Gift Card,Paid
PMT000546,O000546,PayPal,Paid
PMT000547,O000547,Credit Card,Pending
PMT000548,O000548,Credit Card,Paid
PMT000549,O000549,PayPal,Paid
PMT000550,O000550,Debit Card,Paid
PMT000551,O000551,Credit Card,Pending
PMT000552,O000552,PayPal,Paid
PMT000553,O000553,Gift Card,Paid
PMT000554,O000554,PayPal,Paid
PMT000555,O000555,PayPal,Pending
PMT000556,O000556,PayPal,Pending
PMT000557,O000557,Debit Card,Pending
PMT000558,O000558,Credit Card,Refunded
PMT000559,O000559,Gift Card,Paid
PMT000560,O000560,Gift Card,Pending
PMT000561,O000561,Buy Now Pay Later,Pending
PMT000562,O000562,Credit Card,Pending
PMT000563,O000563,Gift Card,Paid
PMT000564,O000564,Gift Card,Paid
PMT000565,O000565,Debit Card,Paid
PMT000566,O000566,Credit Card,Pending
PMT000567,O000567,Gift Card,Paid
PMT000568,O000568,Gift Card,Paid
PMT000569,O000569,Gift Card,Pending
PMT000570,O000570,Buy Now Pay Later,Paid
PMT000571,O000571,Gift Card,Paid
PMT000572,O000572,Credit Card,Paid
PMT000573,O000573,Credit Card,Refunded
PMT000574,O000574,Debit Card,Paid
PMT000575,O000575,Buy Now Pay Later,Pending
PMT000576,O000576,Credit Card,Paid
PMT000577,O000577,Buy Now Pay Later,Paid
PMT000578,O000578,Debit Card,Paid
PMT000579,O000579,Buy Now Pay Later,Paid
PMT000580,O000580,Gift Card,Paid
PMT000581,O000581,PayPal,Paid
PMT000582,O000582,Debit Card,Paid
PMT000583,O000583,Debit Card,Paid
PMT000584,O000584,Gift Card,Refunded
PMT000585,O000585,Debit Card,Paid
PMT000586,O000586,Gift Card,Paid
PMT000587,O000587,Credit Card,Paid
PMT000588,O000588,Debit Card,Pending
PMT000589,O000589,Debit Card,Paid
PMT000590,O000590,Credit Card,Paid
PMT000591,O000591,Credit Card,Paid
PMT000592,O000592,Gift Card,Paid
PMT000593,O000593,Buy Now Pay Later,Paid
PMT000594,O000594,Gift Card,Paid
PMT000595,O000595,Buy Now Pay Later,Paid
PMT000596,O000596,Credit Card,Paid
PMT000597,O000597,PayPal,Paid
PMT000598,O000598,PayPal,Paid
PMT000599,O000599,Credit Card,Refunded
PMT000600,O000600,Gift Card,Paid
PMT000601,O000601,PayPal,Paid
PMT000602,O000602,Buy Now Pay Later,Paid
PMT000603,O000603,Buy Now Pay Later,Refunded
PMT000604,O000604,Gift Card,Paid
PMT000605,O000605,PayPal,Paid
PMT000606,O000606,Buy Now Pay Later,Paid
PMT000607,O000607,Gift Card,Refunded
PMT000608,O000608,PayPal,Paid
PMT000609,O000609,Buy Now Pay Later,Paid
PMT000610,O000610,Credit Card,Paid
PMT000611,O000611,Gift Card,Paid
PMT000612,O000612,Buy Now Pay Later,Paid
PMT000613,O000613,Credit Card,Paid
PMT000614,O000614,Debit Card,Paid
PMT000615,O000615,PayPal,Paid
PMT000616,O000616,Gift Card,Paid
PMT000617,O000617,Credit Card,Paid
PMT000618,O000618,Credit Card,Refunded
PMT000619,O000619,Buy Now Pay Later,Paid
PMT000620,O000620,PayPal,Paid
PMT000621,O000621,Debit Card,Refunded
PMT000622,O000622,Debit Card,Pending
PMT000623,O000623,Credit Card,Pending
PMT000624,O000624,Debit Card,Pending
PMT000625,O000625,PayPal,Paid
PMT000626,O000626,PayPal,Paid
PMT000627,O000627,PayPal,Paid
PMT000628,O000628,Gift Card,Paid
PMT000629,O000629,Debit Card,Paid
PMT000630,O000630,Credit Card,Paid
PMT000631,O000631,Debit Card,Paid
PMT000632,O000632,Buy Now Pay Later,Paid
PMT000633,O000633,Gift Card,Paid
PMT000634,O000634,Buy Now Pay Later,Paid
PMT000635,O000635,Credit Card,Refunded
PMT000636,O000636,PayPal,Paid
PMT000637,O000637,Debit Card,Paid
PMT000638,O000638,Buy Now Pay Later,Paid
PMT000639,O000639,Gift Card,Paid
PMT000640,O000640,PayPal,Paid
PMT000641,O000641,Buy Now Pay Later,Paid
PMT000642,O000642,PayPal,Paid
PMT000643,O000643,PayPal,Refunded
PMT000644,O000644,Buy Now Pay Later,Paid
PMT000645,O000645,Debit Card,Pending
PMT000646,O000646,PayPal,Paid
PMT000647,O000647,PayPal,Paid
PMT000648,O000648,Credit Card,Pending
PMT000649,O000649,Credit Card,Paid
PMT000650,O000650,Buy Now Pay Later,Paid
PMT000651,O000651,Buy Now Pay Later,Pending
PMT000652,O000652,PayPal,Pending
PMT000653,O000653,Gift Card,Paid
PMT000654,O000654,Gift Card,Pending
PMT000655,O000655,Debit Card,Paid
PMT000656,O000656,Buy Now Pay Later,Paid
PMT000657,O000657,Debit Card,Paid
PMT000658,O000658,Credit Card,Paid
PMT000659,O000659,Credit Card,Pending
PMT000660,O000660,Debit Card,Pending
PMT000661,O000661,Gift Card,Paid
PMT000662,O000662,PayPal,Paid
PMT000663,O000663,Debit Card,Paid
PMT000664,O000664,Gift Card,Paid
PMT000665,O000665,Gift Card,Paid
PMT000666,O000666,Credit Card,Pending
PMT000667,O000667,PayPal,Paid
PMT000668,O000668,Debit Card,Paid
PMT000669,O000669,Credit Card,Paid
PMT000670,O000670,PayPal,Paid
PMT000671,O000671,Debit Card,Paid
